anonymous	匿名の、名前を伏せた	The newspaper received an anonymous letter about the accident.	その新聞社は事故に関する匿名の手紙を受け取った。	remain anonymous|an anonymous donor	an-(無い)+ onym(名前。synonym, antonym)。名前が付いていない状態。個性がなく特徴に乏しい、の意味にもなる。
apparatus	装置、器具、機構	The laboratory installed new apparatus for measuring air quality.	その研究所は大気の質を測る新しい装置を導入した。	laboratory apparatus|the state apparatus	ラテン語 apparare(準備する)。目的のためにひとそろい整えられた仕掛け。組織の「機構」にも使う。
appealing	魅力的な、心を引く	The idea of working from home is appealing to many parents.	在宅勤務という考えは多くの親にとって魅力的だ。	appealing to|an appealing idea	appeal(訴えかける)の形容詞。こちらの心にまっすぐ訴えてくるから魅力的、という順序で覚える。
appetite	食欲、欲求	Walking in the cold air gave the children a huge appetite.	冷たい空気の中を歩いたことで子どもたちはとても食欲が出た。	lose one's appetite|an appetite for risk	ad-(〜へ)+ pet(求める。compete, petition)。何かを求める気持ちが核で、食べ物以外への欲求にも広く使う。
applaud	拍手する、称賛する	The audience applauded loudly when the pianist finished.	ピアニストが弾き終えると聴衆は大きく拍手した。	applaud a decision|applaud loudly	ad-(〜へ)+ plaud(たたく。explode の plode と同語根)。手をたたく動作から、行いをほめる意味へ広がった。
applicable	当てはまる、適用できる	These rules are applicable only to full-time employees.	これらの規則は常勤の従業員にのみ適用される。	applicable to|where applicable	apply(当てはめる)+ -able。「その場に当てて使える」。書式の where applicable は「該当する場合は」。
appoint	任命する、指定する	The board appointed her as head of research last spring.	理事会は昨春、彼女を研究責任者に任命した。	appoint someone as|appoint a date	ad-(〜へ)+ point(点)。人や日を一点に定めること。約束の日時を定めれば appointment。
appreciation	感謝、理解、評価、値上がり	He sent flowers as a token of appreciation for their help.	彼は助けへの感謝のしるしとして花を送った。	show appreciation|in appreciation of	ap-(〜へ)+ preci(値。price)。価値を正しく見積もること。ありがたみが分かれば感謝、価値が上がれば値上がり。
arbitrary	恣意的な、独断的な	The deadline felt arbitrary because no one explained the reason.	誰も理由を説明しなかったので、その締め切りは恣意的に感じられた。	an arbitrary decision|arbitrary rules	ラテン語 arbiter(裁定者)。決める人の一存で決まる、が核。根拠が示されないことへの批判として使う。
architectural	建築の、建築上の	The city protects buildings of special architectural value.	その市は特別な建築的価値のある建物を保護している。	architectural style|architectural design	architecture(建築)の形容詞。archi-(主たる)+ tect(作る人)。棟梁が組み立てる仕事、が原義。
archive	記録保管所、保存記録	The photographs are kept in the national film archive.	それらの写真は国立の映画記録保管所に保管されている。	a digital archive|archive footage	ギリシャ語 arkheion(役所)。公的な記録を置く場所が原義。今はデータの保存領域にも使う。
arena	競技場、活動の場	Ten thousand fans filled the arena before the concert began.	コンサートが始まる前に1万人のファンが競技場を埋めた。	a sports arena|the political arena	ラテン語 arena(砂)。円形闘技場の床にまいた砂が語源。転じて、人が競い合う場そのもの。
arguably	おそらく、議論の余地はあるが	She is arguably the most influential architect of her generation.	彼女はおそらく同世代で最も影響力のある建築家だ。	arguably the best|arguably more important	argue(論じる)+ -ably。「主張しようと思えばできる」。断定を避けつつ強い評価を述べる、書き言葉向きの語。
arm	武装させる、備えさせる	The soldiers were armed with nothing more than radios.	その兵士たちは無線機以外は何も持たされていなかった。	armed with|arm oneself	名詞の arm(腕)とは別系統で、ラテン語 arma(武器)から。armed with は道具や情報を手にした状態にも使う。
array	ずらりと並んだもの、配列	The market offered a wide array of local cheeses.	その市場は地元産チーズを幅広く取りそろえていた。	a wide array of|an array of options	古フランス語 areer(整える)。きちんと並べて見せることが核。a wide array of で「多種多様な」。
articulate	明確に述べる、はっきり発音する	She articulated her concerns calmly at the staff meeting.	彼女は職員会議で懸念を落ち着いて明確に述べた。	articulate a vision|clearly articulated	ラテン語 articulus(関節)。関節で区切るように言葉を切り分けること。もやもやした考えを形にする含み。
ash	灰	Grey ash from the volcano covered the roofs of nearby villages.	火山からの灰色の灰が近隣の村の屋根を覆った。	volcanic ash|cigarette ash	古英語 aesce。燃え尽きた後に残る粉。volcanic ash のように、火山灰にもそのまま使う。
aspiration	大志、強い願望	Her aspiration to become a surgeon began in high school.	外科医になりたいという彼女の願望は高校時代に始まった。	career aspirations|aspiration to	ad-(〜へ)+ spir(息。spirit, inspire)。息を吸い込むように上を目指す気持ち。単なる願望より強く、生き方に関わる。
aspire	熱望する、目指す	Many young players aspire to play in the national team.	多くの若い選手が代表チームでプレーすることを目指している。	aspire to|aspire to be	aspiration の動詞。ad-(〜へ)+ spir(息)。後ろは aspire to do の形をとる。
assassination	暗殺	The assassination of the leader triggered months of unrest.	その指導者の暗殺が数か月に及ぶ混乱を引き起こした。	an assassination attempt|political assassination	中世の暗殺教団を指すアラビア語由来。政治的な立場の人物を狙って殺す場合に限って使う。
assault	暴行、襲撃、襲う	He was charged with assault after the fight outside the bar.	彼はバーの外での喧嘩の後、暴行の罪で起訴された。	sexual assault|assault on|physical assault	as-(〜へ)+ salt(跳ぶ。somersault の salt)。相手に飛びかかることが核。法律用語としての「暴行」でよく見る。
assemble	集める、集まる、組み立てる	Workers assemble the entire engine by hand at this factory.	この工場では作業員がエンジン全体を手で組み立てる。	assemble a team|assemble furniture	as-(〜へ)+ simil(似た。similar)。似たものを一か所に寄せることが核。部品を寄せ集めれば組み立て。
assembly	集会、議会、組み立て	The school holds a short assembly every Monday morning.	その学校は毎週月曜の朝に短い集会を開く。	a general assembly|an assembly line	assemble の名詞。人が集まれば集会・議会、部品が集まる工程なら assembly line(流れ作業の組立)。
assert	断言する、主張する、行使する	The author asserts that the evidence has been misread for years.	著者は、その証拠が何年も誤読されてきたと断言している。	assert that|assert one's rights|assert authority	ad-(〜へ)+ sert(結びつける。series, insert)。自分をその立場に結びつけて言い切ること。権利なら「行使する」。
assertion	主張、断言	His assertion that costs would fall proved to be wrong.	費用が下がるという彼の主張は誤りだと分かった。	a bold assertion|make an assertion	assert の名詞。証拠を添えずに言い切った内容を指すことが多く、claim よりも硬い。
assurance	保証、確約、自信	We were given an assurance that the repairs would be free.	修理は無料だという保証を私たちは与えられた。	give an assurance|an assurance that	as-(〜へ)+ sure(確か)。相手を確かな気持ちにさせるもの。自分に向かえば落ち着き・自信の意味になる。
asylum	亡命、保護、避難所	The family applied for asylum after fleeing the conflict.	その一家は紛争から逃れた後、亡命を申請した。	seek asylum|political asylum|an asylum seeker	ギリシャ語 asylon(奪ってはならない場所)。手出しできない安全な場所が原義で、そこから国家の保護へ。
atrocity	残虐行為	Survivors described the atrocities committed during the occupation.	生存者たちは占領期間中に行われた残虐行為を語った。	commit an atrocity|wartime atrocities	ラテン語 atrox(むごい)。戦争や紛争で行われる、常識を超えた行為に対して使う重い語。
attain	達成する、到達する	Few runners attain this level of fitness without years of training.	何年もの訓練なしにこの水準の体力に達する走者はほとんどいない。	attain a goal|attain a level	ad-(〜へ)+ tain(触れる。contact の tact と同語根)。手を伸ばして届くことが核で、achieve より硬い。
attendance	出席、出席者数、通うこと	Attendance at the evening classes has doubled this year.	夜間講座の出席者数は今年2倍になった。	attendance at|poor attendance|take attendance	attend(そこに心と体を向ける)の名詞。出席という行為にも、集まった人数にも使う。
attorney	弁護士、代理人	Her attorney advised her not to comment before the trial.	彼女の弁護士は裁判前に発言しないよう助言した。	a defense attorney|power of attorney	古フランス語 atorner(任せる)。代理を任された人が原義で、主に米国で弁護士を指す。英国は solicitor。
attribute	特質、〜のせいだとする	Scientists attribute the change to rising ocean temperatures.	科学者はその変化を海水温の上昇によるものだとしている。	attribute to|a key attribute	ad-(〜へ)+ tribute(割り当てる。tribe, contribute)。原因や特徴を相手に割り当てる。名詞と動詞で強勢の位置が変わる。
audit	監査、会計検査	An outside firm carried out an audit of the charity accounts.	外部の会社がその慈善団体の会計監査を行った。	a financial audit|conduct an audit	ラテン語 audire(聞く。audio)。もとは帳簿を読み上げて聞かせた手続き。今は帳簿を精査すること。
authentic	本物の、真正の	The restaurant serves authentic regional dishes from southern Italy.	そのレストランは南イタリアの本格的な郷土料理を出す。	authentic food|an authentic document	ギリシャ語 authentikos(自分の手で作った)。作った本人にさかのぼって確かめられる、が核。偽物でないこと。
authorize	許可する、権限を与える	Only the manager can authorize a refund over this amount.	この金額を超える返金は責任者だけが承認できる。	authorize payment|be authorized to	author(生み出す者)+ -ize。権威 authority を与えることで、「やってよい」と正式に認めること。
auto	自動車	The plant employs thousands of workers in the auto industry.	その工場は自動車産業で数千人の労働者を雇用している。	the auto industry|an auto plant	ギリシャ語 autos(自分)。自分で動くから automobile、それを縮めた米語。auto- が付く語はすべて「自力で」が共通の芯。
autonomy	自治、自律性	Teachers here enjoy a high degree of autonomy in the classroom.	ここの教師は教室で高い自律性を認められている。	a degree of autonomy|local autonomy	auto(自分)+ nomy(法。economy の nomy)。自分の法で自分を動かせる状態。組織の自治にも個人の裁量にも使う。
availability	入手可能性、空き状況	Please check the availability of rooms before you book.	予約する前に部屋の空き状況を確認してください。	check availability|limited availability	available の名詞。avail は「役に立つ」で、「必要なときに使える状態にあるか」を問う語。
await	待つ、待ち受ける	Hundreds of passengers awaited news of the delayed flight.	何百人もの乗客が遅延した便の知らせを待っていた。	await a decision|eagerly await	a-(強め)+ wait。wait と違って前置詞を挟まず直接目的語を取る点が要点で、書き言葉向き。
backdrop	背景、背景幕	The talks took place against a backdrop of rising unemployment.	その協議は失業率の上昇という背景の中で行われた。	against a backdrop of|a dramatic backdrop	舞台の後ろに垂らす幕 back + drop。出来事の後ろに広がる状況、という比喩で使うことが多い。
backing	支援、後ろ盾	The project went ahead with financial backing from the city.	その事業は市からの資金的な支援を得て進められた。	financial backing|strong backing	back(背中を支える)の名詞。表に立つのではなく、後ろから支える力。特に資金面の支えを指すことが多い。
backup	予備、控え、バックアップ	Always keep a backup of important files on a separate drive.	重要なファイルの予備は必ず別のドライブに保存しておくこと。	a backup copy|backup plan	back up(後ろから支える)が名詞化した語。データにも人員にも使い、「本命が倒れたときの控え」が共通の芯。
bail	保釈、保釈金	He was released on bail while awaiting trial.	彼は裁判を待つ間、保釈されて釈放された。	release on bail|post bail	古フランス語 bailler(預ける)。身柄の代わりに金を預けて外に出る仕組み。released on bail の形で覚える。
ballot	投票、投票用紙	Members will choose the new leader by secret ballot.	会員は秘密投票で新しい代表を選ぶ。	a secret ballot|cast a ballot	イタリア語 ballotta(小さな球)。昔は玉を壺に入れて投票したことに由来する。投票の仕組みそのものを指す。
banner	横断幕、旗、バナー	Protesters carried banners demanding cleaner air.	抗議者たちはより清潔な空気を求める横断幕を掲げていた。	a banner reading|under the banner of	旗を意味する古い語 bandwa から。掲げて主張を見せる布が核で、ウェブの広告帯もこの延長。
bare	むき出しの、何もない	The walls were bare except for a single old photograph.	壁は古い写真が1枚あるほかは何もなかった。	bare feet|bare walls|the bare minimum	古英語 baer(覆いのない)。覆いを取り去った状態が核。the bare minimum なら飾りを落とした最低限。
barrel	たる、バレル	Oil prices rose above eighty dollars a barrel last month.	先月、原油価格は1バレル80ドルを超えた。	a barrel of oil|a wooden barrel	木のたるを指す古フランス語から。石油の取引単位としても使われ、約159リットルにあたる。
bass	低音、ベース	The bass in this recording is too strong for small speakers.	この録音の低音は小型スピーカーには強すぎる。	bass guitar|turn up the bass	base(低い)と同語源で、音の低さを指す。魚の bass と綴りは同じだが発音が異なる点に注意。
battlefield	戦場	The old battlefield is now a quiet park with memorial stones.	その古戦場は今では記念碑のある静かな公園になっている。	on the battlefield|a former battlefield	battle(戦い)+ field(野)。比喩で、激しく争われる領域そのものを指すこともある。
bay	湾、入り江	Small fishing boats were anchored across the calm bay.	小さな漁船が穏やかな湾の各所に停泊していた。	a sandy bay|across the bay	ラテン語 baia。陸が口を開けて海を抱え込んだ地形。gulf より小ぶりのものを指すことが多い。
beam	光線、梁、輝く	A narrow beam of light came through the gap in the curtains.	細い光の筋がカーテンの隙間から差し込んできた。	a beam of light|a wooden beam	古英語 beam(木)。まっすぐ伸びる材木が原義で、そこから「まっすぐ伸びる光」へ。建築の梁は原義のまま。
